candidate_id,rank,score,reasoning
CAND_0018499,1,254.20569,"Senior Machine Learning Engineer, 7.2 yrs, 6 retrieval skills, 2 LLM skills, Open to work"
CAND_0046064,2,249.270184,"Senior NLP Engineer, 8.9 yrs, 2 retrieval skills, 1 LLM skills, Open to work, High recruiter response"
CAND_0055905,3,247.672342,"Senior Machine Learning Engineer, 8.1 yrs, 3 retrieval skills, 4 LLM skills, Open to work, High recruiter response"
CAND_0008425,4,244.095657,"Senior NLP Engineer, 7.8 yrs, 4 retrieval skills, 2 LLM skills, Open to work"
CAND_0011687,5,235.011059,"Senior NLP Engineer, 7.8 yrs, 3 retrieval skills, 1 LLM skills, Open to work, High recruiter response"
CAND_0005260,6,232.601001,"Senior NLP Engineer, 5.2 yrs, 4 retrieval skills, 2 LLM skills, High recruiter response"
CAND_0077337,7,230.394054,"Staff Machine Learning Engineer, 7.0 yrs, 6 retrieval skills, 2 LLM skills, Open to work, High recruiter response"
CAND_0088025,8,230.054299,"Staff Machine Learning Engineer, 8.6 yrs, 2 retrieval skills, 4 LLM skills, Open to work, High recruiter response, Strong interview completion"
CAND_0080766,9,229.390553,"Staff Machine Learning Engineer, 8.8 yrs, 1 retrieval skills, 1 LLM skills, Strong interview completion"
CAND_0046525,10,228.996544,"Senior Machine Learning Engineer, 6.1 yrs, 2 retrieval skills, 2 LLM skills, Open to work, High recruiter response, Strong interview completion"
CAND_0071974,11,228.709367,"Senior AI Engineer, 7.8 yrs, 5 retrieval skills, Open to work, High recruiter response, Strong interview completion"
CAND_0081846,12,226.640934,"Lead AI Engineer, 6.7 yrs, 5 retrieval skills, Open to work, High recruiter response, Strong interview completion"
CAND_0033861,13,225.536611,"Senior NLP Engineer, 8.0 yrs, 4 retrieval skills, 1 LLM skills, Strong interview completion"
CAND_0094759,14,220.855681,"Lead AI Engineer, 8.6 yrs, 3 retrieval skills, 3 LLM skills, Strong interview completion"
CAND_0092278,15,220.183366,"Senior NLP Engineer, 6.8 yrs, 3 retrieval skills, 3 LLM skills"
CAND_0007411,16,219.660484,"Senior Machine Learning Engineer, 8.0 yrs, 3 retrieval skills, 2 LLM skills"
CAND_0041669,17,217.163553,"Recommendation Systems Engineer, 8.0 yrs, 4 retrieval skills, 2 LLM skills, Open to work, High recruiter response, Strong interview completion"
CAND_0041611,18,212.699452,"Staff Machine Learning Engineer, 6.4 yrs, 1 retrieval skills, 4 LLM skills"
CAND_0079387,19,205.765,"AI Engineer, 6.9 yrs, 3 retrieval skills, 1 LLM skills, Open to work, High recruiter response, Strong interview completion"
CAND_0006567,20,202.759194,"Senior AI Engineer, 7.9 yrs, 1 retrieval skills, 1 LLM skills, Open to work, High recruiter response, Strong interview completion"
CAND_0081686,21,201.85109,"Search Engineer, 6.0 yrs, 4 retrieval skills, 4 LLM skills, High recruiter response, Strong interview completion"
CAND_0064326,22,201.25217,"Search Engineer, 7.6 yrs, 3 retrieval skills, 1 LLM skills, Open to work, High recruiter response, Strong interview completion"
CAND_0060054,23,200.790384,"AI Engineer, 6.4 yrs, 3 retrieval skills, 1 LLM skills, High recruiter response"
CAND_0030953,24,200.707995,"Search Engineer, 7.8 yrs, 1 retrieval skills, 2 LLM skills"
CAND_0005649,25,200.48425,"Senior Data Scientist, 7.4 yrs, 4 retrieval skills, 3 LLM skills, Open to work, Strong interview completion"
CAND_0028793,26,199.475086,"Search Engineer, 7.2 yrs, 2 retrieval skills, 1 LLM skills, Open to work"
CAND_0026532,27,198.514923,"Recommendation Systems Engineer, 4.8 yrs, 6 retrieval skills, 1 LLM skills, Open to work"
CAND_0039383,28,197.378934,"Applied ML Engineer, 7.1 yrs, 3 retrieval skills, 3 LLM skills, Open to work, Strong interview completion"
CAND_0086151,29,196.895035,"Recommendation Systems Engineer, 7.7 yrs, 3 retrieval skills, 1 LLM skills, Open to work"
CAND_0031593,30,194.681986,"Search Engineer, 7.8 yrs, 2 retrieval skills, 2 LLM skills, Open to work"
CAND_0000031,31,192.853683,"Recommendation Systems Engineer, 6.0 yrs, 5 retrieval skills, 1 LLM skills, Open to work, High recruiter response"
CAND_0075249,32,192.814067,"Applied ML Engineer, 6.2 yrs, 3 retrieval skills, 1 LLM skills, Open to work, High recruiter response"
CAND_0005538,33,192.710448,"Senior AI Engineer, 5.9 yrs, 1 LLM skills, Open to work, High recruiter response"
CAND_0002025,34,191.661387,"Senior AI Engineer, 5.9 yrs, 4 retrieval skills, 4 LLM skills, Open to work, High recruiter response, Strong interview completion"
CAND_0068811,35,190.890673,"Applied ML Engineer, 8.0 yrs, 3 retrieval skills, Open to work"
CAND_0044222,36,190.355727,"AI Engineer, 7.7 yrs, 1 retrieval skills, 4 LLM skills, Open to work, Strong interview completion"
CAND_0044855,37,189.98519,"Senior Data Scientist, 6.6 yrs, 4 retrieval skills, 2 LLM skills, Strong interview completion"
CAND_0044883,38,189.609758,"AI Engineer, 6.3 yrs, 2 retrieval skills, 3 LLM skills, High recruiter response"
CAND_0083307,39,187.200592,"Search Engineer, 7.8 yrs, 4 retrieval skills, 1 LLM skills, Open to work, Strong interview completion"
CAND_0061265,40,186.317364,"Recommendation Systems Engineer, 6.6 yrs, 3 retrieval skills, 4 LLM skills, Open to work, High recruiter response"
CAND_0007412,41,185.424256,"Applied ML Engineer, 7.4 yrs, 4 retrieval skills, Open to work, High recruiter response, Strong interview completion"
CAND_0068351,42,185.164638,"Lead AI Engineer, 6.4 yrs, High recruiter response, Strong interview completion"
CAND_0061257,43,184.711471,"Staff Machine Learning Engineer, 8.0 yrs, Open to work, High recruiter response"
CAND_0018549,44,184.10304,"Recommendation Systems Engineer, 6.8 yrs, 1 retrieval skills, 3 LLM skills, Open to work, High recruiter response"
CAND_0040117,45,183.322046,"Recommendation Systems Engineer, 6.5 yrs, 3 retrieval skills, 3 LLM skills, Open to work"
CAND_0049896,46,182.273071,"Search Engineer, 7.3 yrs, 3 retrieval skills, 3 LLM skills, Open to work"
CAND_0065878,47,182.069767,"Senior Data Scientist, 7.8 yrs, 3 retrieval skills, 2 LLM skills, Open to work"
CAND_0041568,48,181.871529,"Search Engineer, 5.2 yrs, 4 retrieval skills, 1 LLM skills, Open to work"
CAND_0053695,49,179.964214,"Recommendation Systems Engineer, 5.8 yrs, 4 retrieval skills, 1 LLM skills, Open to work"
CAND_0050454,50,179.718522,"AI Engineer, 6.8 yrs, 1 retrieval skills, 4 LLM skills, Open to work, High recruiter response"
CAND_0041610,51,179.242721,"Recommendation Systems Engineer, 6.7 yrs, 2 retrieval skills, 1 LLM skills, Open to work"
CAND_0036184,52,178.75728,"Recommendation Systems Engineer, 6.0 yrs, 6 retrieval skills, 4 LLM skills, Open to work, High recruiter response"
CAND_0050876,53,177.606263,"Applied ML Engineer, 6.0 yrs, 2 retrieval skills, 2 LLM skills, Open to work, Strong interview completion"
CAND_0055992,54,176.212374,"AI Engineer, 16.9 yrs, 5 retrieval skills, 3 LLM skills, Open to work, High recruiter response, Strong interview completion"
CAND_0051292,55,174.578774,"Applied ML Engineer, 5.2 yrs, 3 retrieval skills, 2 LLM skills, Open to work"
CAND_0011162,56,174.557795,"Recommendation Systems Engineer, 5.8 yrs, 6 retrieval skills, 1 LLM skills, Open to work, High recruiter response"
CAND_0024466,57,173.958145,"Search Engineer, 5.2 yrs, 3 retrieval skills, 2 LLM skills, Open to work"
CAND_0086022,58,173.938901,"5.3 yrs, 5 retrieval skills, 3 LLM skills, Open to work"
CAND_0017960,59,172.171271,"Recommendation Systems Engineer, 7.7 yrs, 1 retrieval skills, 2 LLM skills, Open to work, High recruiter response"
